...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
5642,S18486321,Common Grackle,Quiscalus quiscula,2014-05-17,08:30:00,6,90,US-VT,43.7615212,-73.3468035,58,5,2014
5643,S37075088,Common Grackle,Quiscalus quiscula,2017-05-22,18:17:00,4,9,US-VT,43.7829965,-73.3154315,61,5,2017
5644,S37111692,Common Grackle,Quiscalus quiscula,2017-05-24,09:29:00,4,42,US-VT,43.7829965,-73.3154315,62,5,2017
5645,S18503364,Common Grackle,Quiscalus quiscula,2014-05-20,15:00:00,6,180,US-VT,43.8264,-73.3808,66,5,2014
5646,S37110002,Common Grackle,Quiscalus quiscula,2017-05-24,07:40:00,3,80,US-VT,43.77954,-73.29591,50,5,2017
5647,S46841669,Common Grackle,Quiscalus quiscula,2018-06-26,07:45:00,4,120,US-VT,43.77954,-73.29591,61,6,2018
5648,S36840514,Common Grackle,Quiscalus quiscula,2017-05-13,10:40:00,10,275,US-MO,38.8636,-92.4504,515,5,2017
5649,S36840519,Common Grackle,Quiscalus quiscula,2017-05-13,15:40:00,3,20,US-MO,38.8861469,-92.25842,64,5,2017
5650,S111728537,Common Grackle,Quiscalus quiscula,2022-05-30,08:08:00,4,302,US-OK,36.850766,-102.8821564,100,5,2022
5651,S99312257,Common Grackle,Quiscalus quiscula,2021-12-23,09:27:00,3,28,US-FL,25.8678737,-81.1156654,123,12,2021
5652,S44577908,Common Grackle,Quiscalus quiscula,2018-04-14,15:50:00,2,208,US-MO,38.482151,-90.8242569,222,4,2018
5653,S99175554,Common Grackle,Quiscalus quiscula,2021-12-20,10:39:00,16,43,US-FL,25.5357141,-80.4509452,121,12,2021
5654,S107972297,Common Grackle,Quiscalus quiscula,2021-12-20,17:12:00,15,100,US-FL,25.1876968,-80.8741825,54,12,2021
5655,S99468922,Common Grackle,Quiscalus quiscula,2021-12-26,14:29:00,40,44,US-FL,27.1459228,-80.8641815,80,12,2021
5656,S55212997,Common Grackle,Quiscalus quiscula,2019-04-21,07:46:00,3,52,US-OK,36.9177299,-96.6173317,88,4,2019
5657,S56366335,Common Grackle,Quiscalus quiscula,2019-05-16,15:09:00,1,80,US-MO,38.70534,-90.74048,46,5,2019
5658,S36840484,Common Grackle,Quiscalus quiscula,2017-05-13,08:08:00,3,25,US-MO,38.7055395,-90.7048416,44,5,2017
5659,S43354053,Common Grackle,Quiscalus quiscula,2018-03-03,17:34:00,2,42,US-MO,38.6228053,-90.344224,72,3,2018
5660,S45195604,Common Grackle,Quiscalus quiscula,2018-05-02,19:16:00,1,28,US-MO,38.6219912,-90.275188,28,5,2018
5661,S18386525,Common Grackle,Quiscalus quiscula,2014-05-14,10:45:00,1,15,US-MO,38.637439,-90.2565372,20,5,2014
5662,S17855769,Common Grackle,Quiscalus quiscula,2014-04-12,08:45:00,48,120,US-MO,38.690995,-90.2349186,200,4,2014
5663,S17294044,Common Grackle,Quiscalus quiscula,2014-03-04,08:15:00,1,45,US-MO,38.6389068,-90.2853806,92,3,2014
5664,S17334391,Common Grackle,Quiscalus quiscula,2014-03-06,08:20:00,6,55,US-MO,38.6389068,-90.2853806,214,3,2014
5665,S17345055,Common Grackle,Quiscalus quiscula,2014-03-07,08:20:00,6,55,US-MO,38.6389068,-90.2853806,276,3,2014
5666,S17410868,Common Grackle,Quiscalus quiscula,2014-03-12,08:20:00,11,45,US-MO,38.6389068,-90.2853806,257,3,2014
5667,S17437862,Common Grackle,Quiscalus quiscula,2014-03-14,08:00:00,35,60,US-MO,38.6389068,-90.2853806,181,3,2014
5668,S17543272,Common Grackle,Quiscalus quiscula,2014-03-20,09:20:00,11,80,US-MO,38.6389068,-90.2853806,102,3,2014
5669,S17716042,Common Grackle,Quiscalus quiscula,2014-04-02,16:00:00,35,40,US-MO,38.6389068,-90.2853806,134,4,2014
5670,S17760108,Common Grackle,Quiscalus quiscula,2014-04-05,18:00:00,26,30,US-MO,38.6389068,-90.2853806,145,4,2014
5671,S17798169,Common Grackle,Quiscalus quiscula,2014-04-07,18:00:00,21,45,US-MO,38.6389068,-90.2853806,96,4,2014
5672,S17841108,Common Grackle,Quiscalus quiscula,2014-04-11,09:30:00,15,60,US-MO,38.6389068,-90.2853806,103,4,2014
5673,S17891506,Common Grackle,Quiscalus quiscula,2014-04-14,09:00:00,12,90,US-MO,38.6389068,-90.2853806,203,4,2014
5674,S17931688,Common Grackle,Quiscalus quiscula,2014-04-17,08:00:00,25,120,US-MO,38.6389068,-90.2853806,307,4,2014
5675,S17944532,Common Grackle,Quiscalus quiscula,2014-04-18,08:45:00,12,10,US-MO,38.6389068,-90.2853806,45,4,2014
5676,S18038666,Common Grackle,Quiscalus quiscula,2014-04-22,18:30:00,8,75,US-MO,38.6389068,-90.2853806,76,4,2014
5677,S18178852,Common Grackle,Quiscalus quiscula,2014-05-02,08:15:00,15,60,US-MO,38.6389068,-90.2853806,115,5,2014
5678,S20016034,Common Grackle,Quiscalus quiscula,2014-10-03,08:45:00,2,45,US-MO,38.6389068,-90.2853806,189,10,2014
5679,S22360906,Common Grackle,Quiscalus quiscula,2015-03-15,09:00:00,15,120,US-MO,38.6389068,-90.2853806,157,3,2015
5680,S23465605,Common Grackle,Quiscalus quiscula,2015-05-15,18:30:00,15,30,US-MO,38.6389068,-90.2853806,104,5,2015
5681,S29505290,Common Grackle,Quiscalus quiscula,2016-05-08,13:30:00,10,90,US-MO,38.6383932,-90.267979,43,5,2016
5682,S35533959,Common Grackle,Quiscalus quiscula,2017-03-30,07:05:00,15,100,US-MO,38.6389068,-90.2853806,283,3,2017
5683,S35654197,Common Grackle,Quiscalus quiscula,2017-04-02,18:46:00,4,37,US-MO,38.6389068,-90.2853806,36,4,2017
5684,S35698031,Common Grackle,Quiscalus quiscula,2017-04-04,07:00:00,30,127,US-MO,38.6389068,-90.2853806,369,4,2017
5685,S35918417,Common Grackle,Quiscalus quiscula,2017-04-13,06:59:00,10,109,US-MO,38.6389068,-90.2853806,247,4,2017
5686,S36118134,Common Grackle,Quiscalus quiscula,2017-04-20,07:00:00,10,98,US-MO,38.6389068,-90.2853806,237,4,2017
5687,S36198905,Common Grackle,Quiscalus quiscula,2017-04-23,08:13:00,3,173,US-MO,38.6389068,-90.2853806,137,4,2017
5688,S36305628,Common Grackle,Quiscalus quiscula,2017-04-27,06:56:00,20,121,US-MO,38.6389068,-90.2853806,260,4,2017
5689,S36497526,Common Grackle,Quiscalus quiscula,2017-05-02,18:56:00,6,58,US-MO,38.6389068,-90.2853806,40,5,2017
5690,S36840525,Common Grackle,Quiscalus quiscula,2017-05-13,18:00:00,4,45,US-MO,38.6389068,-90.2853806,114,5,2017
5691,S36956314,Common Grackle,Quiscalus quiscula,2017-05-18,07:04:00,6,126,US-MO,38.6389068,-90.2853806,140,5,2017
5692,S37297406,Common Grackle,Quiscalus quiscula,2017-05-31,18:29:00,3,61,US-MO,38.6389068,-90.2853806,70,5,2017
5693,S37374545,Common Grackle,Quiscalus quiscula,2017-06-04,07:53:00,12,118,US-MO,38.6389068,-90.2853806,108,6,2017
5694,S39363513,Common Grackle,Quiscalus quiscula,2017-09-24,08:30:00,2,101,US-MO,38.6389068,-90.2853806,45,9,2017
5695,S40682155,Common Grackle,Quiscalus quiscula,2017-11-23,09:58:00,1,134,US-MO,38.6389068,-90.2853806,71,11,2017
5696,S44103398,Common Grackle,Quiscalus quiscula,2018-03-30,19:12:00,12,32,US-MO,38.6389068,-90.2853806,104,3,2018
5697,S49551085,Common Grackle,Quiscalus quiscula,2018-10-25,13:30:00,1,70,US-MO,38.6389068,-90.2853806,63,10,2018
5698,S56350152,Common Grackle,Quiscalus quiscula,2019-05-16,09:24:00,2,102,US-MO,38.6389068,-90.2853806,85,5,2019
5699,S89689436,Common Grackle,Quiscalus quiscula,2021-06-05,17:55:00,1,85,US-MO,38.6383932,-90.267979,56,6,2021
5700,S89715685,Common Grackle,Quiscalus quiscula,2021-06-06,08:01:00,3,74,US-MO,38.6389068,-90.2853806,57,6,2021
5701,S17750325,Common Grackle,Quiscalus quiscula,2014-04-05,07:45:00,2,120,US-MO,38.636316,-90.296545,126,4,2014
5702,S17836663,Common Grackle,Quiscalus quiscula,2014-04-10,08:30:00,4,120,US-MO,38.636316,-90.296545,87,4,2014
5703,S19755048,Common Grackle,Quiscalus quiscula,2014-09-06,17:00:00,35,60,US-MO,38.636316,-90.296545,84,9,2014
5704,S19761146,Common Grackle,Quiscalus quiscula,2014-09-07,08:30:00,6,180,US-MO,38.636316,-90.296545,105,9,2014
5705,S19893404,Common Grackle,Quiscalus quiscula,2014-09-21,07:45:00,1,120,US-MO,38.636316,-90.296545,149,9,2014
5706,S43574572,Common Grackle,Quiscalus quiscula,2018-03-11,18:08:00,9,64,US-MO,38.636316,-90.296545,107,3,2018
5707,S13421647,Common Grackle,Quiscalus quiscula,2013-03-16,14:00:00,7,0,US-MO,38.6129807,-90.2593803,106,3,2013
5708,S17451952,Common Grackle,Quiscalus quiscula,2014-03-15,15:45:00,15,80,US-MO,38.6129807,-90.2593803,112,3,2014
